0.516 0.048 0.957 0.295   -1.0
0.309 0.114 0.112 0.051   -1.0
0.693 0.544 0.387 0.732   1.0
0.665 0.845 0.797 0.902   1.0
0.957 0.819 0.143 0.017   -1.0
0.546 0.113 0.564 0.971   1.0
0.009 0.765 0.700 0.802   1.0
0.284 0.670 0.397 0.425   -1.0
0.366 0.360 0.823 0.610   1.0
0.320 0.969 0.265 0.655   1.0
0.822 0.306 0.860 0.474   1.0
0.007 0.545 0.265 0.662   -1.0
0.622 0.185 0.086 0.519   -1.0
0.089 0.243 0.659 0.003   -1.0
0.372 0.091 0.598 0.016   -1.0
0.242 0.132 0.011 0.427   -1.0
0.537 0.012 0.073 0.767   -1.0
0.035 0.141 0.329 0.399   -1.0
0.021 0.585 0.901 0.680   1.0
0.365 0.106 0.818 0.386   -1.0
0.627 0.468 0.913 0.909   1.0
0.110 0.181 0.798 0.535   -1.0
0.643 0.650 0.198 0.359   1.0
0.784 0.883 0.449 0.952   1.0
0.788 0.720 0.886 0.350   -1.0
0.490 0.766 0.499 0.804   1.0
0.263 0.460 0.058 0.598   -1.0
0.987 0.165 0.047 0.206   -1.0
0.201 0.571 0.197 0.356   -1.0
0.821 0.698 0.433 0.140   1.0
0.883 0.286 0.732 0.788   1.0
0.943 0.211 0.616 0.977   1.0
0.974 0.133 0.779 0.790   1.0
0.338 0.522 0.963 0.535   1.0
0.394 0.710 0.580 0.306   -1.0
0.496 0.617 0.991 0.020   1.0
0.796 0.747 0.727 0.315   1.0
0.979 0.968 0.832 0.750   1.0
0.647 0.045 0.551 0.266   -1.0
0.837 0.602 0.585 0.037   1.0
0.239 0.310 0.166 0.810   -1.0
0.920 0.915 0.624 0.887   1.0
0.782 0.150 0.345 0.378   -1.0
0.496 0.346 0.530 0.076   -1.0
0.160 0.938 0.651 0.726   -1.0
0.278 0.540 0.631 0.655   1.0
0.408 0.590 0.510 0.739   1.0
0.617 0.163 0.600 0.475   -1.0
0.961 0.811 0.940 0.586   1.0
0.849 0.239 0.144 0.103   1.0
0.182 0.752 0.465 0.193   -1.0
0.971 0.677 0.317 0.830   1.0
0.774 0.600 0.536 0.469   -1.0
0.007 0.799 0.725 0.999   1.0
0.689 0.030 0.865 0.601   1.0
0.493 0.598 0.170 0.641   -1.0
0.315 0.910 0.543 0.007   -1.0
0.806 0.181 0.291 0.189   -1.0
0.502 0.303 0.427 0.577   -1.0
0.078 0.400 0.713 0.229   -1.0
0.852 0.294 0.054 0.535   1.0
0.793 0.717 0.992 0.848   1.0
0.484 0.238 0.235 0.927   -1.0
0.148 0.523 0.451 0.890   1.0
0.234 0.609 0.129 0.202   -1.0
0.875 0.883 0.421 0.764   1.0
0.307 0.265 0.232 0.373   -1.0
0.211 0.066 0.049 0.317   1.0
0.855 0.080 0.550 0.452   -1.0
0.616 0.811 0.159 0.022   1.0
0.111 0.507 0.536 0.656   -1.0
0.486 0.581 0.886 0.307   1.0
0.271 0.587 0.046 0.499   -1.0
0.147 0.581 0.960 0.728   1.0
0.937 0.849 0.274 0.432   1.0
0.529 0.993 0.356 0.043   -1.0
0.524 0.303 0.059 0.692   -1.0
0.651 0.667 0.097 0.749   1.0
0.435 0.198 0.118 0.562   -1.0
0.254 0.041 0.230 0.936   -1.0
0.723 0.406 0.388 0.209   -1.0
0.165 0.286 0.754 0.628   -1.0
0.431 0.400 0.678 0.611   1.0
0.781 0.633 0.373 0.416   1.0
0.588 0.306 0.893 0.979   1.0
0.923 0.734 0.325 0.404   1.0
0.518 0.811 0.464 0.402   1.0
0.685 0.534 0.396 0.403   1.0
0.162 0.018 0.513 0.898   -1.0
0.393 0.671 0.386 0.808   -1.0
0.220 0.606 0.955 0.582   1.0
0.376 0.041 0.062 0.453   -1.0
0.950 0.303 0.725 0.931   1.0
0.549 0.342 0.210 0.004   -1.0
0.565 0.506 0.973 0.925   1.0
0.710 0.947 0.800 0.875   1.0
0.019 0.438 0.181 0.656   -1.0
0.573 0.253 0.865 0.956   1.0
0.237 0.594 0.195 0.109   -1.0
