-1.1571 -0.3215 -1
-3.0811 -0.2183 1
-1.1295 0.1269 -1
0.2632 -0.74 1
-0.646 0.2464 -1
0.105 -0.8035 1
1.1365 -0.8515 1
-0.252 0.6265 1
0.2349 0.0258 -1
-0.3977 0.0113 -1
0.7185 -0.4024 -1
0.6034 0.2219 -1
-0.1831 -0.096 -1
2.1593 -0.348 1
-0.0336 -0.8302 1
0.0959 -0.7831 1
-1.9917 0.5616 1
-0.4139 0.1689 -1
0.3342 -0.1778 -1
-0.5175 0.9534 1
-0.1112 -0.8269 1
-0.8325 -0.6051 -1
0.0249 0.3637 1
-0.4231 -0.9541 1
-0.0101 0.2283 1
0.7201 0.5874 -1
0.6831 -0.6937 -1
-2.1062 0.3266 1
-1.5432 0.0034 1
-2.3075 0.3316 1
-1.5892 0.1303 1
-0.1253 0.174 -1
-1.2367 0.5231 1
-0.9602 -0.0171 -1
-0.0542 -0.2967 1
-0.4504 -0.7289 1
1.0718 0.8629 1
-1.9544 0.7224 1
0.2162 0.3842 -1
-0.2444 -0.2618 -1
-1.0908 0.1556 -1
-1.2285 0.1704 -1
0.0874 -0.1214 -1
-0.2958 0.7481 1
-0.6572 0.2214 -1
-0.5377 0.323 -1
-0.8827 0.1526 -1
2.0368 -0.2619 1
-0.3783 -0.5 -1
-1.4775 -0.482 1
-1.21 0.2347 -1
-0.9371 0.6707 1
0.519 0.8703 1
-0.8312 -0.789 1
0.5322 0.8553 1
-1.5014 0.5737 1
-1.7636 0.1634 1
-1.6601 -0.6244 1
-0.772 -0.4812 -1
-1.63 -0.2834 1
0.7278 -0.4901 -1
1.3809 -0.4433 1
-0.5324 -0.6941 1
-1.6098 -0.6254 1
-0.9901 -0.8755 1
-2.1823 -0.7171 1
-0.621 -0.7853 1
0.7978 -0.5011 -1
-0.1704 -0.9157 1
-1.8809 0.4771 1
1.0661 0.4969 -1
0.3932 -0.8482 1
-1.1334 0.4108 -1
-0.3056 -0.2282 -1
2.2556 0.5904 1
-0.5431 0.3663 -1
0.3244 -0.4478 -1
-0.4847 0.0341 -1
-1.6416 -0.0227 1
-0.5423 -0.7619 1
0.0899 0.7936 1
0.1482 -0.7361 1
-2.6011 0.5209 1
-1.7087 -0.1779 1
-1.2818 -0.4396 1
-0.7085 0.9546 1
-1.8103 -0.5591 1
-1.9708 -0.9649 1
0.1523 -0.7949 1
-1.7684 0.4717 1
-1.0497 -0.1851 -1
-0.2315 0.6377 1
-0.1866 -0.7835 1
0.9626 0.6409 -1
-2.3117 0.5466 1
-2.933 -0.8055 1
0.0492 0.2737 1
-1.2223 -0.1336 -1
-0.6549 0.4157 -1
0.7827 -0.62 -1
0.813 0.2029 -1
1.0473 0.5021 -1
-0.0415 -0.9628 1
3.1415 0.4309 1
0.0196 0.3908 1
1.6043 0.8349 1
-0.6879 0.5124 -1
-2.0677 -0.7289 1
-1.209 0.0406 -1
0.7303 0.7932 1
-1.8883 -0.7141 1
-0.9927 0.8324 1
-0.2938 -0.9007 1
-0.8822 0.2665 -1
-0.6385 -0.9098 1
-1.672 -0.8559 1
0.8081 0.2075 -1
-2.4916 -0.8217 1
0.3793 0.7386 1
-0.2455 0.914 1
-0.745 -0.0252 -1
-0.897 -0.7533 1
-1.1073 0.4395 -1
-0.7352 -0.9156 1
-0.4148 -0.9222 1
0.1467 0.6281 1
-0.1825 -0.1465 -1
-0.7721 0.3962 -1
1.2051 -0.0645 -1
0.1419 0.69 1
1.3907 0.3103 1
-0.1915 -0.0622 -1
0.0313 -0.6951 1
-0.0433 0.7595 1
0.871 0.6847 1
-0.5338 -0.5385 -1
-0.5638 0.4866 -1
-1.7337 0.8102 1
-0.4692 0.8384 1
-0.8949 -0.0889 -1
-1.3494 0.3827 1
-1.9275 0.044 1
-0.8479 0.034 -1
-0.1395 0.5623 1
-0.7752 -0.873 1
0.2641 0.9454 1
0.042 -0.791 1
0.6448 0.9824 1
-0.3443 -0.8271 1
1.0689 0.1055 -1
1.0545 -0.0117 -1
0.2261 -0.5919 1
-0.8519 -0.0712 -1
-0.8626 0.8252 1
-1.0236 -0.8591 1
-2.5765 -0.6804 1
-1.2297 -0.7727 1
-1.3584 0.5124 1
0.8079 0.0044 -1
-1.078 0.8172 1
-1.1368 -0.7715 1
0.3136 -0.59 1
-2.9743 0.3301 1
-1.1798 -0.9558 1
-1.5965 0.4577 1
-2.2105 0.4959 1
-1.5647 -0.484 1
-0.0846 -0.0735 -1
-1.0261 -0.0147 -1
0.0676 0.4729 1
-3.5582 -0.7948 1
-1.3321 0.6091 1
-1.2433 -0.6609 1
0.1318 0.3337 -1
-1.3865 -0.0784 -1
-0.911 -0.3472 -1
-1.2982 0.6639 1
1.7602 0.0913 1
0.1142 -0.1526 -1
1.4514 0.5686 1
1.5104 -0.828 1
-0.7218 0.2048 -1
-1.3622 0.3319 1
-0.0695 -0.0134 -1
-1.7282 0.8896 1
0.0491 0.8123 1
-0.7316 -0.7713 1
1.0206 0.6316 1
-0.8386 0.7222 1
0.5628 0.085 -1
-1.1507 0.7377 1
-0.1675 0.1141 -1
-2.0387 0.0621 1
-1.1376 0.9938 1
-0.9509 0.1454 -1
0.0672 -0.7557 1
-0.8087 -0.3019 -1
0.6099 -0.9292 1
-1.1261 0.9841 1
-3.3456 0.0589 1
-0.2081 0.4936 -1
-0.1244 -0.0208 -1
0.9028 0.1231 -1
-1.4184 -0.5098 1
0.2278 -0.013 -1
1.6069 0.7967 1
0.0808 0.9462 1
-0.577 0.1305 -1
-1.4857 0.806 1
-0.0118 0.515 1
0.3468 -0.0719 -1
-1.0291 0.062 -1
-1.1042 -0.6761 1
-1.6338 0.2439 1
-1.1405 -0.5007 -1
-1.0234 -0.6323 1
-1.0001 0.7149 1
1.3249 -0.8532 1
-1.4528 0.5643 1
-0.8194 -0.2234 -1
-0.7274 0.095 -1
-0.399 -0.5261 -1
-1.2033 -0.9554 1
-0.0222 -0.7075 1
-1.3731 -0.1811 -1
-1.0354 -0.1619 -1
-0.613 0.8718 1
